location	GBDR7	Testing20	Incidence20	Mortality20	Vaccination20	Testing21	Incidence21	Mortality21	Vaccination21	max20_21_tests	max20_21_cases	max20_21_deaths	max20_21_peopleVaccinated	Age	GE	VA	PS	RQ	RL	CC	LEB	EYS	MYS	GNI	Gini	UP	CHE	MMR	FLB	ABR	SSP	PSE	EP	VE	Population	PD	AAG	GDP	GI	HDI	log_GDP	log_PD	log_GNI	log_MMR	GI_10
Belarus	Central Europe, Eastern Europe, and Central Asia	41556	2057.468352	15.0801658	0	75169	5346.109397	43.99087692	46130.49194	116725.6618	7403.577748	59.07104272	46130.49194	40.3	-0.73	-1.46	-0.73	-0.65	-1	-0.17	74.8	15.4	12.3	18.546	25.2	79	5.925786	2	57.738	14.5	34.9	87.2	64.131	3.287	9442867	46.858	-0.4	19149.63785	0.118	0.823	4.28216056518538	1.67078374803602	1.26825025544695	0.301029995663981	1.18
Mongolia	Central Europe, Eastern Europe, and Central Asia	18051	36.64453777	0.030036506		173963	11658.39962	61.81513011	68062.24285	192015.2453	11695.04416	61.84516662	68062.24285	28.6	-0.34	0.38	0.79	-0.09	-0.26	-0.46	69.9	14.2	10.3	10.839	32.7	68.5	4.002301	45	53.304	31	17.3	91.5	59.676	48.486	3329282	1.98	0	12309.77143	0.322	0.737	4.09024998894989	0.296665190261531	1.03498921628768	1.65321251377534	3.22
Kazakhstan	Central Europe, Eastern Europe, and Central Asia	29163	1059.207396	14.47226153		33827	4587.122541	81.4005485	47308.14883	62990.75786	5646.329937	95.87281004	47308.14883	30.6	0.16	-1.19	-0.26	0.14	-0.4	-0.39	73.6	15.6	11.9	22.857	27.5	57.5	3.125362	10	62.675	29.8	22.1	99.3	68.757	23.154	18994958	6.681	-0.3	26351.43864	0.19	0.825	4.42080433022629	0.824841471753701	1.35901922829267	1	1.9
Albania	Central Europe, Eastern Europe, and Central Asia	8615	2029.84127	41.10780129		40928	5287.556206	70.86831789	39732.41293	49543.98535	7317.397476	111.9761192	39732.41293	38	-0.14	0.09	0.08	0.24	-0.36	-0.54	78.6	14.7	10.1	13.998	33.2	61.2	6.541954	15	46.712	19.6	29.5	93.7	55.732	52.852	2872934	104.871	-0.1	13961.7966	0.181	0.795	4.144941306773	2.0206554092498	1.1460659891774	1.17609125905568	1.81
Estonia	Central Europe, Eastern Europe, and Central Asia	48346	2112.153144	17.28056698	186.7659532	143100	16104.73382	128.510068	63372.51771	191447.4022	18216.88696	145.790635	63559.28366	42.7	1.34	1.17	0.71	1.54	1.38	1.61	78.8	16	13.1	36.019	30.4	69.1	6.429358	9	57.102	7.7	29.7	100	63.56	6.149	1325188	31.033	1.2	36710.41089	0.086	0.892	4.56478924547541	1.49182376141942	1.55653165127889	0.954242509439325	0.86
Serbia	Central Europe, Eastern Europe, and Central Asia	33417	4917.71358	46.72892436		71942	13991.2599	138.2949138	48157.37999	105359.8702	18908.97348	185.0238382	48157.37999	41.2	0.03	-0.12	-0.09	0.12	-0.18	-0.43	76	14.7	11.2	17.192	36.2	56.3	8.433958	12	47.407	14.7	37.7	86.3	54.876	24.297	6908224	80.291	-0.1	18179.77498	0.132	0.806	4.2595885034432	1.90466686695497	1.23532640248339	1.07918124604762	1.32
Russia	Central Europe, Eastern Europe, and Central Asia	62450	2143.310028	38.56501968	35.63791337	102359	4929.722652	168.8688818	50559.37132	164809.9613	7073.03268	207.4339015	50595.00923	39.6	0.03	-1.08	-0.73	-0.44	-0.76	-0.91	72.6	15	12.2	26.157	37.5	74.6	5.344578	17	54.822	20.7	16.5	96.3	61.801	5.35	145912022	8.823	-0.6	27043.93539	0.225	0.824	4.43206988970307	0.945616279226732	1.41758793238319	1.23044892137827	2.25
Ukraine	Central Europe, Eastern Europe, and Central Asia	12850	2500.751033	44.35797032		25769	6350.197399	190.506221	33849.5163	38619.76613	8850.948431	234.8641914	33849.5163	41.4	-0.36	0.09	-1.16	-0.3	-0.67	-0.78	72.1	15.1	11.4	13.216	26.1	69.5	6.99532	19	46.732	23.7	20.5	94	54.151	14.852	43466822	77.39	-0.6	12810.28945	0.234	0.779	4.10755894279056	1.8886848466597	1.12110002997631	1.27875360095283	2.34
Latvia	Central Europe, Eastern Europe, and Central Asia	46976	2190.971936	34.012986	124.8571187	250650	12628.7271	210.7733857	70293.86149	297626.4292	14819.69904	244.7863717	70418.7186	43.9	0.88	0.87	0.46	1.19	0.96	0.72	75.3	16.2	13	30.282	35.6	68.2	5.955662	19	55.721	16.2	30	100	61.411	7.143	1866934	31.212	0.9	30830.09052	0.176	0.866	4.48897479985719	1.4943215982435	1.48118455511733	1.27875360095283	1.76
Poland	Central Europe, Eastern Europe, and Central Asia	18365	3425.875069	75.54567823	125.9359208	52177	7443.281213	181.2313147	57216.36109	70542.56158	10869.15628	256.7769929	57342.29701	41.8	0.38	0.62	0.57	0.89	0.54	0.65	78.7	16.3	12.5	31.623	29.7	60	6.541954	2	48.629	10.5	27.9	83.1	56.701	16.059	37797000	124.027	0.6	33086.39033	0.115	0.88	4.51964938894064	2.0935162389895	1.50000306805169	0.301029995663981	1.15
